artefactos
"LENOVONetbook LENOVO 100e DUET 11'' Intel Celeron 4G...S/ 1,799 unAgregar"
LENOVOTablet LENOVO TB-8505X 8'' 2GB 32GB HDD Platea...S/ 599 unS/ 369 un-38%Agregar
"HPLaptop HP 14-cf2074LA 14'' Intel Core i5 8GB 2...S/ 3,899 unS/ 2,799 un-28%Agregar"
"ASUSNotebook ASUS X515EA-BQ100T 15.6'' Intel Core ...S/ 4,299 unS/ 2,449 un-43%S/ 2,299 un-46%Agregar"
LENOVOTablet LENOVO M10 HD 2da Generación 10.1'' 4GB...S/ 899 unS/ 699 un-22%Agregar
"HPLaptop HP 15-EF1012LA 15.6'' AMD R7 8GB 256GB ...S/ 3,499 unS/ 2,599 un-25%S/ 2,499 un-28%Agregar"
"LENOVOLaptop LENOVO 81MQ00AKLM 14'' AMD A6 4GB 64GB ...S/ 1,669 unS/ 999 un-40%Agregar"
"EPSONImpresora Multifuncional EPSON L4260 NegroS/ 1,149 unAgregar"
"LENOVONotebook LENOVO C340-11 11'' Intel Celeron 4GB...S/ 1,599 unAgregar"
LENOVOTablet LENOVO TB-X505F 10.1'' 2GB 16GBS/ 799 unS/ 399 un-50%Agregar
"LENOVOTablet LENOVO 64GB YT-X705FS/ 1,399 unS/ 749 un-46%Agregar"
HPImpresora Multifuncional HP Ink Tank 415S/ 999 unS/ 749 un-25%S/ 719 un-28%Agregar
"ASUSNotebook ASUS M515DA-BQ889T 15.6'' AMD Ryzen 5...S/ 3,099 unS/ 2,899 un-6%S/ 2,799 un-9%Agregar"
"LENOVONetbook LENOVO D330-10IGL 10.1'' Intel Celeron...S/ 1,599 unS/ 899 un-43%Agregar"
"HPLaptop HP 14-cf2064la 14'' Intel Core i3 4GB 1...S/ 2,799 unS/ 2,099 un-25%S/ 1,999 un-28%Agregar"
"HPLaptop HP 15-DW1061LA 15"" Intel Core i5 8GB 1T...S/ 3,499 unS/ 2,999 un-14%S/ 2,899 un-17%Agregar"
"HPNotebook HP 15-DW1066LA 15"" Intel Ci5 8GB 512G...S/ 3,699 unS/ 2,799 un-24%S/ 2,699 un-27%Agregar"
HPImpresora Multifuncional HP IA 2375 BlancoS/ 299 unAgregar
HPImpresora Multifuncional HP Ink Tank 315S/ 899 unS/ 699 un-22%S/ 669 un-25%Agregar
"EPSONImpresora Multifuncional EPSON L3260 NegroS/ 1,079 unAgregar"
SAMSUNGTablet SAMSUNG A7 Lite 8.7'' 32GB 3GB PlataS/ 649 unAgregar
